variable,value,source
ram_default_strip_size,32,GB
gpu_die_impact_gwp,1970,gCO2 e/cm2 same source as cpu_gwp_die_impact_gwp
gpu_base_impact_gwp,26970,"gCO2 e from   Loubet, P., Vincent, A., Collin, A., Dejous, C., Ghiotto, A., and Jego, C.(2023). (whole graphics card)"
gpu_die_impact_adp,5.80E-07,kgSb e/cm2 same source as cpu_gwp_die_impact_adp
gpu_base_impact_adp,1.70E-02,"kgSb e from   Loubet, P., Vincent, A., Collin, A., Dejous, C., Ghiotto, A., and Jego, C.(2023). (whole graphics card)"
PSU_impact_gwp,24300,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
PSU_impact_adp,8.30E-03,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
motherboard_impact_gwp,66100,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
motherboard_impact_adp,3.69E-03,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
rack_casing_impact_gwp,150000,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
rack_casing_impact_adp,2.02E-02,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
blade_casing_impact_gwp,150000,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
blade_casing_impact_adp,2.02E-02,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
blade_16slot_gwp,880000,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
blade_16slot_adp,4.32E-01,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
blade_module_gwp,205000,"values to use, gCO2 e, = B23+B25/16 = 205000, from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht"
blade_module_adp,4.72E-02,"values to use, kgSb e, = B24+B26/16 = 4.72E-02, from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
assembly_impact_gwp,6680,"gCO2 e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
assembly_impact_adp,1.41E-06,"kgSb e from Gröger, J., Liu, R., Stobbe, L., Druschke, J., and Richter,N. (2021). Green Cloud Computing: lebenszyklusbasierte Datenerhebung zuUmweltwirkungen des Cloud Computing: Abschlussbericht."
default_RAM_quantity_per_personal_laptop,11,"GB, hypothesis"
default_CPu_die_area,11,"cm2, as the average value from the TDP_cpu tab"
default_CPU_GWP_impact,30810,"gCO2 eq, = <default_CPu_die_area> * <cpu_die_impact_gwp> + <cpu_base_impact_gwp>, intermediate variable coming from above value, designed to deduce the impact of 'other devices' for personal laptop based on ADEME impact values for a whole laptop"
default_CPU_ADP_impact,2.04E-02,"kgSb eq, = <default_CPu_die_area> * <cpu_die_impact_adp> + <cpu_base_impact_adp> = 2.04E-2, intermediate variable coming from above value, designed to deduce the impact of 'other devices' for personal laptop based on ADEME impact values for a whole laptop=B32*B5 + B6, "
GWP fabrication ordinateur portable ADEME,1.70E+05,"gCO2 eq ""ordinateur portable"" ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
ADPe fabrication ordianteur portable ADEME,0.0095025,"kgSb eq, ""ordinateur portable"" ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
I_mem_strip GWP,42742.65217,"gCO2 eq, = <ram_default_strip_size> / <ram_density> * <ram_die_impact_gwp> + <ram_base_impact_gwp>=42742.65217, intermediate variable coming from above value, designed to deduce the impact of 'other devices' for personal laptop based on ADEME impact values for a whole laptop"
I_mem_strip_ADP,2.76E-03,"kgSb eq, = <ram_default_strip_size> / <ram_density> * <ram_die_impact_adp> + <ram_base_impact_adp> =2.76E-03,  intermediate variable coming from above value, designed to deduce the impact of 'other devices' for personal laptop based on ADEME impact values for a whole laptop "
RAM ordinateur professionnel par défaut,8,"GB, hypothesis for 'other devices' impacts computation"
ordinateur fixe professionnel + écran GWP,267177.6901,"gCO2 eq ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
ordinateur fixe professionnel + écran ADP,0.0313986,"kgSb eq ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
laptop_base_impact_gwp,1.25E+05,"""gCO2 eq, =<GWP fabrication ordinateur portable ADEME> - (<default_CPU_GWP_impact> + <default_RAM_quantity_per_personal_laptop>/<ram_default_strip_size> * <I_mem_strip GWP>)=1.25E+05, we substract a base CPU and RAM impacts from the value provided by Ademe in the Base Empreinte for a laptop"""
laptop_base_impact_adp,0.00E+00,"""kgSb eq, =<ADPe fabrication ordianteur portable ADEME> - (<default_CPU_ADP_impact> + <default_RAM_quantity_per_personal_laptop>/<ram_default_strip_size>*<I_mem_strip_ADP>)=-1.18E-02, Same as above, but our computation results in a negative value (the value from the Base Empreinte seems a bit low) se we replace it by 0"""
desktop_computer_base_impact_gwp,225682.0271,"""gC02 eq, =<ordinateur fixe professionnel + écran GWP> - (<default_CPU_GWP_impact>> + <RAM ordinateur professionnel par défaut>/<ram_default_strip_size>*<I_mem_strip GWP>)=225682.0271, Same as above but for the desktop computer"""
desktop_computer_base_impact_adp,1.03E-02,"""kgSb eq, = <ordinateur fixe professionnel + écran ADP> - (<default_CPU_ADP_impact> + <RAM ordinateur professionnel par défaut> / <ram_default_strip_size> * <I_mem_strip_ADP>)=1.03E-02"""
lifespan_local-server,5,"years,"
lifespan_cloud-server,3,"years, average lifespan until failure measured on a supercomputer in Ostrouchov, G.; Maxwell, D.; Ashraf, R. A.; Engelmann, C.; Shankar, M.; and Rogers, J. H. 2020. GPU Lifetimes on Titan Supercomputer: Survival Analysis and Reliability. In SC20: International Conference for High Performance Computing, Networking, Storage and  Analysis, 1–14."
lifespan_laptop,5,"years, reference lifespan used for a personal laptop in the ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
lifespan_desktop_computer,6,"years, reference lifespan used for a professional desktop in the ADEME's database for digital footprint (v 2.0) https://base-empreinte.ademe.fr/documentation/base-impact (last access on 19th may 2025) after creating an account on the ADEME website, going to section ""4 - AI - Base Impacts®- Documentation"" and by clicking on the file ""Numérique""."
active-utilization_local-server,0.2,derived by Clément Morand
active-utilization_cloud-server,0.5,"derived from table 1 of Shehabi, A., Smith, S.J., Horner, N., Azevedo, I., Brown, R., Koomey, J., Masanet, E., Sartor, D., Herrlin, M., Lintner, W. 2016. United States Data Center Energy Usage Report. Lawrence Berkeley National Laboratory, Berkeley, California. LBNL-1005775"
active-utilization_laptop,0.2012320329,assumed to be used 7 hours a day for 252 business days a year
active-utilization_desktop_computer,0.2012320329,assumed to be used 7 hours a day for 252 business days a year
active_lifespan_local_server,8766,"hours, obtained by multiplying the lifespan times the active utilization rate times 365.25*24 = 8766"
active_lifespan_cloud_server,13149,"hours, obtained by multiplying the lifespan times the active utilization rate times 365.25*2 = 13149"
active_lifespan_laptop,8820,"hours, obtained by multiplying the lifespan times the active utilization rate times 365.25*26  = 8820"
active_lifespan_desktop_computer,10584,"hours, obtained by multiplying the lifespan times the active utilization rate times 365.25*27 = 10584"
nb_CPU_per_server,2,units
nb_GPU_local_per_server,2,units
nb_GPU_cloud_per_server,4,"units, or 8 to be decided"
